date,side,maturity,participants,complete,volume,interest
2019-01-22,Mua kỳ hạn Tổng cộng,,,,14330,0.0475
2019-01-23,Mua kỳ hạn Tổng cộng,,,,11550.2,0.0475
2019-01-23,Mua kỳ hạn,28,13,13,11550.2,0.0475
2019-01-24,Mua kỳ hạn Tổng cộng,,,,21232.7,0.0475
2019-01-24,Mua kỳ hạn,28,17,17,21232.7,0.0475
2019-01-25,Mua kỳ hạn Tổng cộng,,,,33319.1,0.0475
2019-01-25,Mua kỳ hạn,21,20,20,33319.1,0.0475
2019-01-28,Mua kỳ hạn Tổng cộng,,,,20248.4,0.0475
2019-01-28,Mua kỳ hạn,21,13,13,20248.4,0.0475
2019-01-29,Mua kỳ hạn Tổng cộng,,,,18927.1,0.0475
2019-01-29,Mua kỳ hạn,14,14,14,18927.1,0.0475
2019-01-30,Mua kỳ hạn Tổng cộng,,,,1745.8,0.0475
2019-01-30,Mua kỳ hạn,14,5,5,1745.8,0.0475
2019-01-31,Mua kỳ hạn Tổng cộng,,,,3035.2,0.0475
2019-01-31,Mua kỳ hạn,14,6,6,3035.2,0.0475
2019-02-01,Mua kỳ hạn,14,8,8,8327,0.0475
2019-02-01,Mua kỳ hạn,14,8,8,8327,0.0475
2019-02-01,Mua kỳ hạn Tổng cộng,,,,8327,0.0475
2019-02-01,Mua kỳ hạn Tổng cộng,,,,8327,0.0475
2019-02-11,Mua kỳ hạn Tổng cộng,,,,2017.4,0.0475
2019-02-11,Mua kỳ hạn,7,2,2,2017.4,0.0475
2019-02-12,Mua kỳ hạn Tổng cộng,,,,2648.2,0.0475
2019-02-12,Mua kỳ hạn,7,2,2,2648.2,0.0475
2019-02-13,Mua kỳ hạn Tổng cộng,,,,702.1,0.0475
2019-02-13,Mua kỳ hạn,7,1,1,702.1,0.0475
2019-02-14,Mua kỳ hạn,7,0,0,0,0
2019-02-14,Mua kỳ hạn Tổng cộng,,,,0,0
2019-02-15,Mua kỳ hạn,7,5,5,8428.4,0.0475
2019-02-15,Mua kỳ hạn Tổng cộng,,,,8428.4,0.0475
2019-02-18,Mua kỳ hạn Tổng cộng,,,,8446.3,0.0475
2019-02-18,Mua kỳ hạn,7,4,4,8446.3,0.0475
2019-02-19,Mua kỳ hạn Tổng cộng,,,,4412.6,0.0475
2019-02-19,Mua kỳ hạn,7,4,4,4412.6,0.0475
2019-02-20,Mua kỳ hạn Tổng cộng,,,,3576.4,0.0475
2019-02-20,Mua kỳ hạn,7,5,5,3576.4,0.0475
2019-02-21,Mua kỳ hạn Tổng cộng,,,,5246.2,0.0475
2019-02-21,Mua kỳ hạn,7,5,4,5246.2,0.0475
2019-02-22,Mua kỳ hạn Tổng cộng,,,,6999.9,0.0475
2019-02-22,Mua kỳ hạn,7,6,6,6999.9,0.0475
2019-02-25,Mua kỳ hạn Tổng cộng,,,,6982.5,0.0475
2019-02-25,Mua kỳ hạn,7,4,4,6982.5,0.0475
2019-02-26,Mua kỳ hạn,7,3,3,3156.3,0.0475
2019-02-26,Mua kỳ hạn Tổng cộng,,,,3156.3,0.0475
2019-02-27,Mua kỳ hạn Tổng cộng,,,,899.6,0.0475
2019-02-27,Mua kỳ hạn,7,1,1,899.6,0.0475
2019-02-28,Mua kỳ hạn Tổng cộng,,,,2933.4,0.0475
2019-02-28,Mua kỳ hạn,7,2,2,2933.4,0.0475
2019-03-01,Mua kỳ hạn Tổng cộng,,,,4999.9,0.0475
2019-03-01,Mua kỳ hạn,7,3,3,4999.9,0.0475
2019-03-04,Mua kỳ hạn Tổng cộng,,,,6310.7,0.0475
2019-03-04,Mua kỳ hạn,7,3,3,6310.7,0.0475
2019-03-05,Mua kỳ hạn Tổng cộng,,,,1928.7,0.0475
2019-03-05,Mua kỳ hạn,7,2,2,1928.7,0.0475
2019-03-06,Mua kỳ hạn,7,1,1,905.4,0.0475
2019-03-06,Mua kỳ hạn Tổng cộng,,,,905.4,0.0475
2019-03-07,Mua kỳ hạn Tổng cộng,,,,1816.5,0.0475
2019-03-07,Mua kỳ hạn,7,2,2,1816.5,0.0475
2019-03-08,Mua kỳ hạn Tổng cộng,,,,2999.9,0.0475
2019-03-08,Mua kỳ hạn,7,3,3,2999.9,0.0475
2019-03-11,Mua kỳ hạn Tổng cộng,,,,3789.6,0.0475
2019-03-11,Mua kỳ hạn,7,2,2,3789.6,0.0475
2019-03-12,Mua kỳ hạn Tổng cộng,,,,999.9,0.0475
2019-03-12,Mua kỳ hạn,7,2,2,999.9,0.0475
2019-03-13,Bán hẳn Tổng cộng,,,,5000,0.03
2019-03-13,Bán hẳn,7,1,1,5000,0.03
2019-03-13,Mua kỳ hạn Tổng cộng,,,,798.3,0.0475
2019-03-13,Mua kỳ hạn,7,1,1,798.3,0.0475
2019-03-14,Mua kỳ hạn,7,2,2,999.9,0.0475
2019-03-14,Mua kỳ hạn Tổng cộng,,,,999.9,0.0475
2019-03-14,Bán hẳn Tổng cộng,,,,5000,0.03
2019-03-14,Bán hẳn,7,2,2,5000,0.03
2019-03-15,Bán hẳn Tổng cộng,,,,6999.7,0.03
2019-03-15,Bán hẳn,7,5,5,6999.7,0.03
2019-03-15,Mua kỳ hạn Tổng cộng,,,,999.8,0.0475
2019-03-15,Mua kỳ hạn,7,1,1,999.8,0.0475
2019-03-18,Bán hẳn Tổng cộng,,,,7999.6,0.03
2019-03-18,Bán hẳn,7,5,5,7999.6,0.03
2019-03-18,Mua kỳ hạn Tổng cộng,,,,999.9,0.0475
2019-03-18,Mua kỳ hạn,7,2,2,999.9,0.0475
2019-03-19,Mua kỳ hạn Tổng cộng,,,,634.9,0.0475
2019-03-19,Mua kỳ hạn,7,1,1,634.9,0.0475
2019-03-19,Bán hẳn Tổng cộng,,,,5750,0.03
2019-03-19,Bán hẳn,7,7,7,5750,0.03
2019-03-20,Bán hẳn Tổng cộng,,,,9750,0.03
2019-03-20,Bán hẳn,7,7,7,9750,0.03
2019-03-20,Mua kỳ hạn Tổng cộng,,,,313.6,0.0475
2019-03-20,Mua kỳ hạn,7,1,1,313.6,0.0475
2019-03-21,Bán hẳn Tổng cộng,,,,7900,0.03
2019-03-21,Bán hẳn,7,5,5,7900,0.03
2019-03-21,Mua kỳ hạn Tổng cộng,,,,228,0.0475
2019-03-21,Mua kỳ hạn,7,1,1,228,0.0475
2019-03-22,Bán hẳn Tổng cộng,,,,6100,0.03
2019-03-22,Bán hẳn,7,3,3,6100,0.03
2019-03-22,Mua kỳ hạn Tổng cộng,,,,552,0.0475
2019-03-22,Mua kỳ hạn,7,1,1,552,0.0475
2019-03-25,Mua kỳ hạn,7,0,0,0,0
2019-03-25,Bán hẳn Tổng cộng,,,,100,0.03
2019-03-25,Bán hẳn,7,1,1,100,0.03
2019-03-25,Mua kỳ hạn Tổng cộng,,,,0,0
2019-03-26,Bán hẳn Tổng cộng,,,,200,0.03
2019-03-26,Bán hẳn,7,2,2,200,0.03
2019-03-26,Mua kỳ hạn Tổng cộng,,,,1191.5,0.0475
2019-03-26,Mua kỳ hạn,7,3,3,1191.5,0.0475
2019-03-27,Bán hẳn Tổng cộng,,,,200,0.03
2019-03-27,Bán hẳn,7,2,2,200,0.03
2019-03-27,Mua kỳ hạn Tổng cộng,,,,5.2,0.0475
2019-03-27,Mua kỳ hạn,7,1,1,5.2,0.0475
2019-03-28,Mua kỳ hạn,7,2,2,437.9,0.0475
2019-03-28,Bán hẳn,7,3,3,3200,0.03
2019-03-28,Bán hẳn Tổng cộng,,,,3200,0.03
2019-03-28,Mua kỳ hạn Tổng cộng,,,,437.9,0.0475
2019-03-29,Bán hẳn Tổng cộng,,,,1200,0.03
2019-03-29,Bán hẳn,7,3,3,1200,0.03
2019-03-29,Mua kỳ hạn Tổng cộng,,,,0,0
2019-03-29,Mua kỳ hạn,7,0,0,0,0
2019-04-01,Bán hẳn Tổng cộng,,,,4100,0.03
2019-04-01,Bán hẳn,7,2,2,4100,0.03
2019-04-01,Mua kỳ hạn Tổng cộng,,,,194.6,0.0475
2019-04-01,Mua kỳ hạn,7,1,1,194.6,0.0475
2019-04-02,Mua kỳ hạn,7,0,0,0,0
2019-04-02,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-02,Bán hẳn,7,2,2,1100,0.03
2019-04-02,Bán hẳn Tổng cộng,,,,1100,0.03
2019-04-02,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-02,Bán hẳn,7,2,2,1100,0.03
2019-04-02,Bán hẳn Tổng cộng,,,,1100,0.03
2019-04-02,Mua kỳ hạn,7,0,0,0,0
2019-04-03,Bán hẳn Tổng cộng,,,,5601,0.03
2019-04-03,Bán hẳn,7,4,4,5601,0.03
2019-04-03,Mua kỳ hạn Tổng cộng,,,,1,0.0475
2019-04-03,Mua kỳ hạn,7,1,1,1,0.0475
2019-04-04,Bán hẳn Tổng cộng,,,,6100,0.03
2019-04-04,Bán hẳn,7,3,3,6100,0.03
2019-04-04,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-04,Mua kỳ hạn,7,0,0,0,0
2019-04-05,Mua kỳ hạn,7,0,0,0,0
2019-04-05,Bán hẳn Tổng cộng,,,,100,0.03
2019-04-05,Bán hẳn,7,1,1,100,0.03
2019-04-05,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-08,Bán hẳn Tổng cộng,,,,1100,0.03
2019-04-08,Bán hẳn,7,2,2,1100,0.03
2019-04-08,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-08,Mua kỳ hạn,7,0,,0,0
2019-04-09,Bán hẳn Tổng cộng,,,,100,0.03
2019-04-09,Bán hẳn,7,1,1,100,0.03
2019-04-09,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-09,Mua kỳ hạn,7,0,0,0,0
2019-04-10,Mua kỳ hạn,7,0,0,0,0
2019-04-10,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-10,Bán hẳn Tổng cộng,,,,999.9,0.03
2019-04-10,Bán hẳn,7,2,2,999.9,0.03
2019-04-11,Bán hẳn Tổng cộng,,,,2999.9,0.03
2019-04-11,Bán hẳn,7,3,3,2999.9,0.03
2019-04-11,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-11,Mua kỳ hạn,7,0,0,0,0
2019-04-12,Bán hẳn Tổng cộng,,,,4999.9,0.03
2019-04-12,Bán hẳn,7,3,3,4999.9,0.03
2019-04-12,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-12,Mua kỳ hạn,7,0,0,0,0
2019-04-16,Mua kỳ hạn,7,0,0,0,0
2019-04-16,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-16,Bán hẳn Tổng cộng,,,,4999.8,0.03
2019-04-16,Bán hẳn,7,3,3,4999.8,0.03
2019-04-17,Mua kỳ hạn,7,0,0,0,0
2019-04-17,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-18,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-18,Mua kỳ hạn,7,0,0,0,0
2019-04-19,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-19,Mua kỳ hạn,7,0,0,0,0
2019-04-22,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-22,Mua kỳ hạn,7,0,0,0,0
2019-04-23,Bán hẳn Tổng cộng,,,,9999.6,0.03
2019-04-23,Bán hẳn,14,8,8,9999.6,0.03
2019-04-23,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-23,Mua kỳ hạn,7,0,0,0,0
2019-04-24,Mua kỳ hạn,7,0,0,0,0
2019-04-24,Bán hẳn,14,9,9,9999.6,0.03
2019-04-24,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-24,Bán hẳn Tổng cộng,,,,9999.6,0.03
2019-04-25,Bán hẳn Tổng cộng,,,,14999.6,0.03
2019-04-25,Bán hẳn,14,10,10,14999.6,0.03
2019-04-25,Mua kỳ hạn Tổng cộng,,,,0,0
2019-04-25,Mua kỳ hạn,7,0,0,0,0
2019-04-26,Bán kỳ hạn Tổng cộng,,,,14999.6,0.03
2019-04-26,Bán kỳ hạn,14,6,6,14999.6,0.03
2019-04-26,Mua kỳ hạn Tổng cộng,,,,305.6,0.0475
2019-04-26,Mua kỳ hạn,7,1,1,305.6,0.0475
2019-05-02,Mua kỳ hạn,7,1,1,111,0.0475
2019-05-02,Mua kỳ hạn Tổng cộng,,,,111,0.0475
2019-05-02,Mua kỳ hạn Tổng cộng,,,,111,0.0475
2019-05-02,Mua kỳ hạn,7,1,1,111,0.0475
2019-05-03,Mua kỳ hạn Tổng cộng,,,,404,0.0475
2019-05-03,Mua kỳ hạn,7,2,2,404,0.0475
2019-05-04,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-04,Mua kỳ hạn,7,0,0,0,0
2019-05-06,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-06,Mua kỳ hạn,7,0,0,0,0
2019-05-07,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-07,Mua kỳ hạn,7,0,0,0,0
2019-05-08,Bán hẳn Tổng cộng,,,,9187,0.03
2019-05-08,Bán hẳn,7,5,5,9187,0.03
2019-05-08,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-08,Mua kỳ hạn,7,0,0,0,0
2019-05-09,Mua kỳ hạn,7,0,0,0,0
2019-05-09,Bán kỳ hạn Tổng cộng,,,,7600,0.03
2019-05-09,Bán kỳ hạn,7,4,4,7600,0.03
2019-05-09,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-10,Bán hẳn Tổng cộng,,,,9100,0.03
2019-05-10,Bán hẳn,7,3,3,9100,0.03
2019-05-10,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-10,Mua kỳ hạn,7,0,0,0,0
2019-05-13,Bán hẳn Tổng cộng,,,,3025,0.03
2019-05-13,Bán hẳn,7,2,2,3025,0.03
2019-05-13,Mua kỳ hạn Tổng cộng,,,,97.85,0.0475
2019-05-13,Mua kỳ hạn,7,1,1,97.85,0.0475
2019-05-14,Mua kỳ hạn,7,0,0,0,0
2019-05-14,Bán hẳn Tổng cộng,,,,10000,0.03
2019-05-14,Bán hẳn,7,4,4,10000,0.03
2019-05-14,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-15,Bán hẳn Tổng cộng,,,,14800,0.03
2019-05-15,Bán hẳn,7,5,5,14800,0.03
2019-05-15,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-15,Mua kỳ hạn,7,0,0,0,0
2019-05-16,Bán hẳn Tổng cộng,,,,11200,0.03
2019-05-16,Bán hẳn,7,6,6,11200,0.03
2019-05-16,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-16,Mua kỳ hạn,7,0,0,0,0
2019-05-17,Bán hẳn Tổng cộng,,,,9700,0.03
2019-05-17,Bán hẳn,7,5,5,9700,0.03
2019-05-17,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-17,Mua kỳ hạn,7,0,0,0,0
2019-05-20,Mua kỳ hạn,7,0,0,0,0
2019-05-20,Bán hẳn Tổng cộng,,,,7700,0.03
2019-05-20,Bán hẳn,7,2,2,7700,0.03
2019-05-20,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-21,Bán hẳn Tổng cộng,,,,9650,0.03
2019-05-21,Bán hẳn,7,9,9,9650,0.03
2019-05-21,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-21,Mua kỳ hạn,7,0,0,0,0
2019-05-22,Bán hẳn Tổng cộng,,,,11999.7,0.03
2019-05-22,Bán hẳn,7,6,6,11999.7,0.03
2019-05-22,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-22,Mua kỳ hạn,7,0,0,0,0
2019-05-23,Mua kỳ hạn,7,0,0,0,0
2019-05-23,Bán hẳn Tổng cộng,,,,5300,0.03
2019-05-23,Bán hẳn,7,6,6,5300,0.03
2019-05-23,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-24,Bán hẳn Tổng cộng,,,,9070,0.03
2019-05-24,Bán hẳn,7,5,5,9070,0.03
2019-05-24,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-24,Mua kỳ hạn,7,0,0,0,0
2019-05-27,Bán hẳn Tổng cộng,,,,11800,0.03
2019-05-27,Bán hẳn,7,6,6,11800,0.03
2019-05-27,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-27,Mua kỳ hạn,7,0,0,0,0
2019-05-28,Mua kỳ hạn,7,0,0,0,0
2019-05-28,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-28,Bán hẳn Tổng cộng,,,,14999.6,0.03
2019-05-28,Bán hẳn,7,10,10,14999.6,0.03
2019-05-29,Bán hẳn Tổng cộng,,,,18000,0.03
2019-05-29,Bán hẳn,7,9,9,18000,0.03
2019-05-29,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-29,Mua kỳ hạn,7,0,0,0,0
2019-05-30,Bán hẳn Tổng cộng,,,,19999.5,0.03
2019-05-30,Bán hẳn,7,11,11,19999.5,0.03
2019-05-30,Mua kỳ hạn Tổng cộng,,,,0,0
2019-05-30,Mua kỳ hạn,7,0,0,0,0
2019-05-31,Mua kỳ hạn,7,0,0,0,0
2019-05-31,Bán hẳn Tổng cộng,,,,19999.7,0.03
2019-05-31,Bán hẳn,7,8,8,19999.7,0.03
2019-05-31,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-03,Bán hẳn,7,2,2,9999.9,0.03
2019-06-03,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-03,Mua kỳ hạn,7,0,0,0,0
2019-06-03,Bán hẳn Tổng cộng,,,,9999.9,0.03
2019-06-04,Bán hẳn Tổng cộng,,,,12999.7,0.03
2019-06-04,Bán hẳn,7,7,7,12999.7,0.03
2019-06-04,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-04,Mua kỳ hạn,7,0,0,0,0
2019-06-05,Bán hẳn Tổng cộng,,,,12999.8,0.03
2019-06-05,Bán hẳn,7,5,5,12999.8,0.03
2019-06-05,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-05,Mua kỳ hạn,7,0,0,0,0
2019-06-06,Mua kỳ hạn,7,0,0,0,0
2019-06-06,Bán hẳn,7,6,6,17450,0.03
2019-06-06,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-06,Bán hẳn Tổng cộng,,,,17450,0.03
2019-06-07,Bán hẳn Tổng cộng,,,,17000,0.03
2019-06-07,Bán hẳn,7,5,5,17000,0.03
2019-06-07,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-07,Mua kỳ hạn,7,0,0,0,0
2019-06-10,Bán hẳn Tổng cộng,,,,12800,0.03
2019-06-10,Bán hẳn,7,4,4,12800,0.03
2019-06-10,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-10,Mua kỳ hạn,7,0,0,0,0
2019-06-11,Mua kỳ hạn,7,0,0,0,0
2019-06-11,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-11,Bán hẳn Tổng cộng,,,,6999.7,0.03
2019-06-11,Bán hẳn,7,5,5,6999.7,0.03
2019-06-12,Bán hẳn Tổng cộng,,,,12999.9,0.03
2019-06-12,Bán hẳn,7,4,4,12999.9,0.03
2019-06-12,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-12,Mua kỳ hạn,7,0,0,0,0
2019-06-13,Bán hẳn Tổng cộng,,,,14999.7,0.03
2019-06-13,Bán hẳn,7,6,6,14999.7,0.03
2019-06-13,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-13,Mua kỳ hạn,7,0,0,0,0
2019-06-14,Bán hẳn Tổng cộng,,,,16999.6,0.03
2019-06-14,Bán hẳn,7,8,8,16999.6,0.03
2019-06-14,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-14,Mua kỳ hạn,7,0,0,0,0
2019-06-17,Mua kỳ hạn,7,0,0,0,0
2019-06-17,Bán hẳn Tổng cộng,,,,14999.7,0.03
2019-06-17,Bán hẳn,7,4,4,14999.7,0.03
2019-06-17,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-18,Bán hẳn Tổng cộng,,,,9999.8,0.03
2019-06-18,Bán hẳn,7,7,7,9999.8,0.03
2019-06-18,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-18,Mua kỳ hạn,7,0,0,0,0
2019-06-19,Bán hẳn Tổng cộng,,,,12999.5,0.03
2019-06-19,Bán hẳn,7,9,9,12999.5,0.03
2019-06-19,Mua kỳ hạn Tổng cộng,,,,20.6,0.0475
2019-06-19,Mua kỳ hạn,7,1,1,20.6,0.0475
2019-06-20,Mua kỳ hạn,7,0,0,0,0
2019-06-20,Bán hẳn Tổng cộng,,,,14999.8,0.03
2019-06-20,Bán hẳn,7,5,5,14999.8,0.03
2019-06-20,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-21,Bán hẳn Tổng cộng,,,,14999.8,0.03
2019-06-21,Bán hẳn,7,5,5,14999.8,0.03
2019-06-21,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-21,Mua kỳ hạn,7,0,0,0,0
2019-06-24,Bán hẳn Tổng cộng,,,,6999.8,0.03
2019-06-24,Bán hẳn,7,4,4,6999.8,0.03
2019-06-24,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-24,Mua kỳ hạn,7,0,0,0,0
2019-06-25,Bán hẳn Tổng cộng,,,,2999.8,0.03
2019-06-25,Bán hẳn,7,4,4,2999.8,0.03
2019-06-25,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-25,Mua kỳ hạn,7,0,0,0,0
2019-06-26,Mua kỳ hạn,7,0,0,0,0
2019-06-26,Bán hẳn,7,3,3,4999.8,0.03
2019-06-26,Bán hẳn Tổng cộng,,,,4999.8,0.03
2019-06-26,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-27,Bán hẳn Tổng cộng,,,,7999.9,0.03
2019-06-27,Bán hẳn,7,3,3,7999.9,0.03
2019-06-27,Mua kỳ hạn Tổng cộng,,,,0,0
2019-06-27,Mua kỳ hạn,7,0,0,0,0
2019-06-28,Bán hẳn Tổng cộng,,,,9999.9,0.03
2019-06-28,Bán hẳn,7,2,2,9999.9,0.03
2019-06-28,Mua kỳ hạn Tổng cộng,,,,12000,0.0475
2019-06-28,Mua kỳ hạn,7,14,14,12000,0.0475
2019-07-01,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-01,Mua kỳ hạn,7,0,0,0,0
2019-07-01,Bán hẳn,7,3,3,6999.9,0.03
2019-07-01,Bán hẳn Tổng cộng,,,,6999.9,0.03
2019-07-01,Mua kỳ hạn,7,0,0,0,0
2019-07-01,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-01,Bán hẳn,7,3,3,6999.9,0.03
2019-07-01,Bán hẳn Tổng cộng,,,,6999.9,0.03
2019-07-02,Bán hẳn Tổng cộng,,,,4999.7,0.03
2019-07-02,Bán hẳn,7,6,6,4999.7,0.03
2019-07-02,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-02,Mua kỳ hạn,7,0,0,0,0
2019-07-03,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-03,Mua kỳ hạn,7,0,0,0,0
2019-07-03,Bán hẳn Tổng cộng,,,,4999.8,0.03
2019-07-03,Bán hẳn,7,5,5,4999.8,0.03
2019-07-04,Bán hẳn Tổng cộng,,,,8000,0.03
2019-07-04,Bán hẳn,7,4,4,8000,0.03
2019-07-04,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-04,Mua kỳ hạn,7,0,0,0,0
2019-07-05,Bán hẳn Tổng cộng,,,,9999.8,0.03
2019-07-05,Bán hẳn,7,4,4,9999.8,0.03
2019-07-05,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-05,Mua kỳ hạn,7,0,0,0,0
2019-07-08,Mua kỳ hạn,7,0,0,0,0
2019-07-08,Bán hẳn Tổng cộng,,,,9999.7,0.03
2019-07-08,Bán hẳn,7,5,5,9999.7,0.03
2019-07-08,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-09,Bán hẳn,7,6,6,11999.6,0.03
2019-07-09,Mua kỳ hạn,7,0,0,0,0
2019-07-09,Bán hẳn Tổng cộng,,,,11999.6,0.03
2019-07-09,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-10,Bán hẳn Tổng cộng,,,,11999.5,0.03
2019-07-10,Bán hẳn,7,8,8,11999.5,0.03
2019-07-10,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-10,Mua kỳ hạn,7,0,0,0,0
2019-07-11,Bán hẳn Tổng cộng,,,,9999.7,0.03
2019-07-11,Bán hẳn,7,5,5,9999.7,0.03
2019-07-11,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-11,Mua kỳ hạn,7,0,0,0,0
2019-07-12,Mua kỳ hạn,7,0,0,0,0
2019-07-12,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-12,Bán hẳn Tổng cộng,,,,4999.9,0.03
2019-07-12,Bán hẳn,7,4,4,4999.9,0.03
2019-07-15,Bán hẳn Tổng cộng,,,,4999.8,0.03
2019-07-15,Bán hẳn,7,6,6,4999.8,0.03
2019-07-15,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-15,Mua kỳ hạn,7,0,0,0,0
2019-07-16,Bán hẳn Tổng cộng,,,,4999.7,0.03
2019-07-16,Bán hẳn,7,8,8,4999.7,0.03
2019-07-16,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-16,Mua kỳ hạn,7,0,0,0,0
2019-07-17,Mua kỳ hạn,7,0,0,0,0
2019-07-17,Bán hẳn,7,8,8,4999.7,0.03
2019-07-17,Bán hẳn Tổng cộng,,,,4999.7,0.03
2019-07-17,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-18,Bán hẳn Tổng cộng,,,,4999.6,0.03
2019-07-18,Bán hẳn,7,11,11,4999.6,0.03
2019-07-18,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-18,Mua kỳ hạn,7,0,0,0,0
2019-07-19,Bán hẳn Tổng cộng,,,,9999.5,0.0275
2019-07-19,Bán hẳn,7,10,10,9999.5,0.0275
2019-07-19,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-19,Mua kỳ hạn,7,0,0,0,0
2019-07-22,Mua kỳ hạn,7,0,0,0,0
2019-07-22,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-22,Bán hẳn Tổng cộng,,,,9999.7,0.0275
2019-07-22,Bán hẳn,7,7,7,9999.7,0.0275
2019-07-23,Bán hẳn Tổng cộng,,,,9999.8,0.0275
2019-07-23,Bán hẳn,7,5,5,9999.8,0.0275
2019-07-23,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-23,Mua kỳ hạn,7,0,0,0,0
2019-07-24,Bán hẳn Tổng cộng,,,,9999.6,0.0275
2019-07-24,Bán hẳn,7,8,8,9999.6,0.0275
2019-07-24,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-24,Mua kỳ hạn,7,0,0,0,0
2019-07-25,Mua kỳ hạn,7,0,0,0,0
2019-07-25,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-25,Bán hẳn Tổng cộng,,,,9999.8,0.0275
2019-07-25,Bán hẳn,7,8,8,9999.8,0.0275
2019-07-26,Bán hẳn Tổng cộng,,,,11999.7,0.0275
2019-07-26,Bán hẳn,7,6,6,11999.7,0.0275
2019-07-26,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-26,Mua kỳ hạn,7,0,0,0,0
2019-07-29,Mua kỳ hạn Tổng cộng,,,,0,0
2019-07-29,Mua kỳ hạn,7,0,0,0,0
2019-07-29,Bán hẳn Tổng cộng,,,,11999.6,0.0275
2019-07-29,Bán hẳn,7,7,7,11999.6,0.0275
2019-07-30,Bán hẳn Tổng cộng,,,,11999.7,0.0275
