date,side,maturity,participants,complete,volume,interest
2016-04-06,Mua kỳ hạn,7,3,3,1480,0.05
2016-04-06,Mua kỳ hạn Tổng cộng,,,,1480,0.05
2016-04-07,Mua kỳ hạn Tổng cộng,,,,1697,0.05
2016-04-07,Mua kỳ hạn,7,4,4,1697,0.05
2016-04-08,Mua kỳ hạn Tổng cộng,,,,4688,0.05
2016-04-08,Mua kỳ hạn,7,5,5,4688,0.05
2016-04-11,Mua kỳ hạn Tổng cộng,,,,7000,0.05
2016-04-11,Mua kỳ hạn,7,11,11,7000,0.05
2016-04-12,Mua kỳ hạn Tổng cộng,,,,3751,0.05
2016-04-12,Mua kỳ hạn,7,8,8,3751,0.05
2016-04-13,Mua kỳ hạn Tổng cộng,,,,2036,0.05
2016-04-13,Mua kỳ hạn,7,6,6,2036,0.05
2016-04-14,Mua kỳ hạn,7,5,5,2112,0.05
2016-04-14,Mua kỳ hạn Tổng cộng,,,,2112,0.05
2016-04-15,Mua kỳ hạn Tổng cộng,,,,6582,0.05
2016-04-15,Mua kỳ hạn,7,4,4,6582,0.05
2016-04-19,Mua kỳ hạn Tổng cộng,,,,8234,0.05
2016-04-19,Mua kỳ hạn,7,7,7,8234,0.05
2016-04-20,Mua kỳ hạn Tổng cộng,,,,10000,0.05
2016-04-20,Mua kỳ hạn,7,12,12,10000,0.05
2016-04-21,Mua kỳ hạn Tổng cộng,,,,12000,0.05
2016-04-21,Mua kỳ hạn,7,17,17,12000,0.05
2016-04-22,Mua kỳ hạn Tổng cộng,,,,5066,0.05
2016-04-22,Mua kỳ hạn,14,8,8,5066,0.05
2016-04-25,Mua kỳ hạn Tổng cộng,,,,549,0.05
2016-04-25,Mua kỳ hạn,14,1,1,549,0.05
2016-04-29,Mua kỳ hạn Tổng cộng,,,,1913,0.05
2016-04-29,Mua kỳ hạn,7,2,2,1913,0.05
2016-05-04,Mua kỳ hạn,7,4,4,1942,0.05
2016-05-04,Mua kỳ hạn Tổng cộng,,,,1942,0.05
2016-05-05,Mua kỳ hạn Tổng cộng,,,,745,0.05
2016-05-05,Mua kỳ hạn,7,2,2,745,0.05
2016-05-06,Mua kỳ hạn Tổng cộng,,,,2297,0.05
2016-05-06,Mua kỳ hạn,7,3,3,2297,0.05
2016-05-09,Mua kỳ hạn Tổng cộng,,,,10000,0.05
2016-05-09,Mua kỳ hạn,7,1,1,10000,0.05
2016-05-11,Mua kỳ hạn Tổng cộng,,,,300,0.05
2016-05-11,Mua kỳ hạn,7,1,1,300,0.05
2016-05-31,Mua kỳ hạn,7,16,15,7999,0.015
2016-05-31,Mua kỳ hạn Tổng cộng,,,,7999,0.015
2016-06-01,Mua kỳ hạn Tổng cộng,,,,7999,0.0175
2016-06-01,Mua kỳ hạn,7,11,11,7999,0.0175
2016-06-09,Bán hẳn Tổng cộng,,,,3000,0.0175
2016-06-09,Bán hẳn,14,13,13,3000,0.0175
2016-06-09,Mua kỳ hạn,7,0,,,
2016-06-10,Bán hẳn Tổng cộng,,,,2000,0.0175
2016-06-10,Bán hẳn,14,11,11,2000,0.0175
2016-06-10,Mua kỳ hạn,7,0,,,
2016-06-24,Bán hẳn Tổng cộng,,,,5000,0.0175
2016-06-24,Bán hẳn,14,11,11,5000,0.0175
2016-06-24,Mua kỳ hạn,7,0,,,
2016-06-27,Mua kỳ hạn,7,0,,,
2016-06-27,Bán hẳn,14,12,12,5000,0.0175
2016-06-27,Bán hẳn Tổng cộng,,,,5000,0.0175
2016-07-05,Bán hẳn Tổng cộng,,,,8000,0.018
2016-07-05,Bán hẳn,14,15,3,8000,0.018
2016-07-05,Mua kỳ hạn,7,0,,,
2016-07-06,Bán hẳn Tổng cộng,,,,8000,0.016
2016-07-06,Bán hẳn,14,18,4,8000,0.016
2016-07-06,Mua kỳ hạn,7,0,,,
2016-07-07,Bán hẳn Tổng cộng,,,,5000,0.015
2016-07-07,Bán hẳn,14,13,7,5000,0.015
2016-07-07,Mua kỳ hạn,7,0,,,
2016-07-08,Mua kỳ hạn,7,0,,,
2016-07-08,Bán hẳn,14,9,4,5000,0.014
2016-07-08,Bán hẳn Tổng cộng,,,,5000,0.014
2016-07-15,Mua kỳ hạn,7,0,,,
2016-07-15,Bán hẳn Tổng cộng,,,,5000,0.014
2016-07-15,Bán hẳn,14,3,3,5000,0.014
2016-07-19,Bán hẳn Tổng cộng,,,,6000,0.015
2016-07-19,Bán hẳn,14,4,4,6000,0.015
2016-07-19,Mua kỳ hạn,7,0,,,
2016-07-21,Bán hẳn Tổng cộng,,,,8000,0.015
2016-07-21,Bán hẳn,14,5,5,8000,0.015
2016-07-21,Mua kỳ hạn,7,0,,,
2016-07-22,Bán hẳn Tổng cộng,,,,5000,0.014
2016-07-22,Bán hẳn,14,3,3,5000,0.014
2016-07-22,Mua kỳ hạn,7,0,,,
2016-07-25,Mua kỳ hạn,7,0,,,
2016-07-25,Bán hẳn,14,3,3,3000,0.014
2016-07-25,Bán hẳn Tổng cộng,,,,3000,0.014
2016-07-26,Bán hẳn Tổng cộng,,,,3000,0.014
2016-07-26,Bán hẳn,14,3,3,3000,0.014
2016-07-26,Mua kỳ hạn,7,0,,,
2016-07-28,Bán hẳn Tổng cộng,,,,8000,0.015
2016-07-28,Bán hẳn,14,4,4,8000,0.015
2016-07-28,Mua kỳ hạn,7,0,,,
2016-07-29,Bán hẳn Tổng cộng,,,,8000,0.015
2016-07-29,Bán hẳn,14,5,5,8000,0.015
2016-07-29,Mua kỳ hạn,7,0,,,
2016-08-08,Mua kỳ hạn,7,0,,,
2016-08-08,Bán hẳn,14,3,3,3000,0.014
2016-08-08,Bán hẳn Tổng cộng,,,,3000,0.014
2016-08-09,Bán hẳn Tổng cộng,,,,3000,0.0139
2016-08-09,Bán hẳn,14,5,3,3000,0.0139
2016-08-09,Mua kỳ hạn,7,0,,,
2016-08-11,Bán hẳn Tổng cộng,,,,8000,0.0135
2016-08-11,Bán hẳn,14,8,6,8000,0.0135
2016-08-11,Mua kỳ hạn,7,0,,,
2016-08-12,Bán hẳn Tổng cộng,,,,8000,0.013
2016-08-12,Bán hẳn,14,4,3,8000,0.013
2016-08-12,Mua kỳ hạn,7,0,,,
